Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
571,2.078,22.2,66100,NaN,NaN,NaN,,,,,,,,,,,,
573,1.958,21.5,66300,NaN,NaN,NaN,,,,,,,,,,,,
575,-999.000,-999.0,66600,NaN,NaN,NaN,,,,,,,,,,,,
577,2.219,22.9,66800,NaN,NaN,NaN,,,,,,,,,,,,
579,-999.000,-999.0,67000,NaN,NaN,NaN,,,,,,,,,,,,
581,2.092,22.3,67300,NaN,NaN,NaN,,,,,,,,,,,,
583,2.032,22.0,67500,NaN,NaN,NaN,,,,,,,,,,,,
585,2.252,23.1,67700,NaN,NaN,NaN,,,,,,,,,,,,
587,2.012,21.8,68000,NaN,NaN,NaN,,,,,,,,,,,,
589,2.131,22.5,68200,NaN,NaN,NaN,,,,,,,,,,,,
591,2.177,22.7,68400,NaN,NaN,NaN,,,,,,,,,,,,
593,2.120,22.4,68700,NaN,NaN,NaN,,,,,,,,,,,,
595,2.157,22.6,68900,NaN,NaN,NaN,,,,,,,,,,,,
597,-999.000,-999.0,69100,NaN,NaN,NaN,,,,,,,,,,,,
599,1.979,21.7,69300,NaN,NaN,NaN,,,,,,,,,,,,
601,2.097,22.3,69600,NaN,NaN,NaN,,,,,,,,,,,,
603,2.048,22.0,69800,NaN,NaN,NaN,,,,,,,,,,,,
605,2.328,23.5,70000,NaN,NaN,NaN,,,,,,,,,,,,
607,2.114,22.4,70300,NaN,NaN,NaN,,,,,,,,,,,,
609,2.179,22.7,70500,NaN,NaN,NaN,,,,,,,,,,,,
611,2.150,22.6,70800,NaN,NaN,NaN,,,,,,,,,,,,
613,2.001,21.8,71200,NaN,NaN,NaN,,,,,,,,,,,,
615,2.199,22.8,71500,NaN,NaN,NaN,,,,,,,,,,,,
617,2.284,23.3,71900,NaN,NaN,NaN,,,,,,,,,,,,
619,2.213,22.9,72200,NaN,NaN,NaN,,,,,,,,,,,,
621,2.232,23.0,72600,NaN,NaN,NaN,,,,,,,,,,,,
623,-999.000,-999.0,72900,NaN,NaN,NaN,,,,,,,,,,,,
625,-999.000,-999.0,73300,NaN,NaN,NaN,,,,,,,,,,,,
627,2.284,23.3,73600,NaN,NaN,NaN,,,,,,,,,,,,
629,2.195,22.8,74000,NaN,NaN,NaN,,,,,,,,,,,,
631,2.222,22.9,74300,NaN,NaN,NaN,,,,,,,,,,,,
633,2.126,22.5,74700,NaN,NaN,NaN,,,,,,,,,,,,
635,2.304,23.4,75000,NaN,NaN,NaN,,,,,,,,,,,,
637,2.397,23.8,75300,NaN,NaN,NaN,,,,,,,,,,,,
639,2.284,23.3,75700,NaN,NaN,NaN,,,,,,,,,,,,
641,2.283,23.3,76000,NaN,NaN,NaN,,,,,,,,,,,,
643,2.227,23.0,76400,NaN,NaN,NaN,,,,,,,,,,,,
645,2.158,22.6,76700,NaN,NaN,NaN,,,,,,,,,,,,
647,2.295,23.3,77100,NaN,NaN,NaN,,,,,,,,,,,,
649,2.167,22.7,77400,NaN,NaN,NaN,,,,,,,,,,,,
651,2.302,23.3,77800,NaN,NaN,NaN,,,,,,,,,,,,
653,2.122,22.4,78100,NaN,NaN,NaN,,,,,,,,,,,,
655,2.267,23.2,78500,NaN,NaN,NaN,,,,,,,,,,,,
657,2.145,22.6,78800,NaN,NaN,NaN,,,,,,,,,,,,
659,2.315,23.4,79200,NaN,NaN,NaN,,,,,,,,,,,,
661,2.269,23.2,79500,NaN,NaN,NaN,,,,,,,,,,,,
663,2.395,23.8,79800,NaN,NaN,NaN,,,,,,,,,,,,
665,2.243,23.1,80200,NaN,NaN,NaN,,,,,,,,,,,,
667,2.294,23.3,80500,NaN,NaN,NaN,,,,,,,,,,,,
669,2.352,23.6,80900,NaN,NaN,NaN,,,,,,,,,,,,
671,2.431,23.9,81200,NaN,NaN,NaN,,,,,,,,,,,,
673,2.506,24.3,81600,NaN,NaN,NaN,,,,,,,,,,,,
675,2.446,24.0,81900,NaN,NaN,NaN,,,,,,,,,,,,
677,2.422,23.9,82300,NaN,NaN,NaN,,,,,,,,,,,,
679,2.539,24.4,82600,NaN,NaN,NaN,,,,,,,,,,,,
681,2.382,23.7,83000,NaN,NaN,NaN,,,,,,,,,,,,
683,2.618,24.8,83300,NaN,NaN,NaN,,,,,,,,,,,,
685,2.386,23.7,83600,NaN,NaN,NaN,,,,,,,,,,,,
687,2.439,24.0,84000,NaN,NaN,NaN,,,,,,,,,,,,
689,2.304,23.4,84300,NaN,NaN,NaN,,,,,,,,,,,,
691,2.363,23.6,84700,NaN,NaN,NaN,,,,,,,,,,,,
693,-999.000,-999.0,85000,NaN,NaN,NaN,,,,,,,,,,,,
695,2.315,23.4,85400,NaN,NaN,NaN,,,,,,,,,,,,
697,2.189,22.8,85700,NaN,NaN,NaN,,,,,,,,,,,,
699,2.059,22.1,86100,NaN,NaN,NaN,,,,,,,,,,,,
701,2.184,22.8,86400,NaN,NaN,NaN,,,,,,,,,,,,
703,2.132,22.5,86800,NaN,NaN,NaN,,,,,,,,,,,,
705,-999.000,-999.0,87100,NaN,NaN,NaN,,,,,,,,,,,,
707,2.318,23.4,87500,NaN,NaN,NaN,,,,,,,,,,,,
709,2.194,22.8,87800,NaN,NaN,NaN,,,,,,,,,,,,
711,-999.000,-999.0,88300,NaN,NaN,NaN,,,,,,,,,,,,
713,2.224,23.0,88900,NaN,NaN,NaN,,,,,,,,,,,,
715,-999.000,-999.0,89400,NaN,NaN,NaN,,,,,,,,,,,,
717,2.363,23.6,89900,NaN,NaN,NaN,,,,,,,,,,,,
719,2.341,23.5,90500,NaN,NaN,NaN,,,,,,,,,,,,
721,2.530,24.4,91000,NaN,NaN,NaN,,,,,,,,,,,,
