Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1520.59,-42.27,-53.5,12650,65.5
1521.21,-41.82,-52.2,12670,66
1521.82,-41.95,-52.5,12690,66
1522.36,-41.06,-49.8,12710,66.5
1522.91,-39.86,-46.2,12730,67
1523.44,-40.17,-47.1,12750,67
1524.02,-40.36,-47.7,12770,67.5
1524.70,-39.88,-46.2,12790,68
1525.30,-38.98,-43.5,12810,68
1525.94,-39.81,-46.0,12830,68.5
1526.67,-40.11,-46.9,12850,69
1527.42,-39.42,-44.8,12870,69
1528.24,-37.79,-39.9,12890,69.5
1528.98,-38.25,-41.3,12910,69.5
1529.76,-39.11,-43.9,12930,70
1530.73,-38.96,-43.4,12950,70
1531.50,-39.87,-46.2,12970,70.5
1532.26,-39.55,-45.2,12990,70.5
1533.12,-39.49,-45.0,13010,71
1533.86,-40.52,-48.2,13030,71
1534.55,-39.77,-45.9,13050,71.5
1535.21,-40.57,-48.3,13070,71.5
1535.89,-40.17,-47.1,13090,72
1536.56,-41.51,-51.2,13110,72.5
1537.23,-40.08,-46.8,13130,72.5
